[DEBUG] 2018-05-02 04:24:39.732 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7cb90ae5
[DEBUG] 2018-05-02 04:24:39.965 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@79e3da18
[DEBUG] 2018-05-02 04:24:39.968 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@79e3da18
[DEBUG] 2018-05-02 04:24:40.213 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@70b068df
[DEBUG] 2018-05-02 04:24:40.214 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@70b068df
[DEBUG] 2018-05-02 04:24:40.240 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@25e26cee
[DEBUG] 2018-05-02 04:24:40.267 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2acb7a1e
[DEBUG] 2018-05-02 04:24:40.338 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@52e9392c
[DEBUG] 2018-05-02 04:24:40.506 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@1df89953
[DEBUG] 2018-05-02 04:24:40.507 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1df89953
[DEBUG] 2018-05-02 04:24:40.534 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@3cd52b19
[DEBUG] 2018-05-02 04:24:40.538 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@27357d94
[DEBUG] 2018-05-02 04:24:40.539 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@27e8cb56
[DEBUG] 2018-05-02 04:24:40.539 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@326422a3
[DEBUG] 2018-05-02 04:24:40.542 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@277c5a15
[DEBUG] 2018-05-02 04:24:40.542 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@2ba95ab3
[DEBUG] 2018-05-02 04:24:40.543 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@4a7a96eb
[DEBUG] 2018-05-02 04:24:40.546 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5998d43d
[INFO ] 2018-05-02 04:24:41.206 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/puppy_playtime_test
[INFO ] 2018-05-02 04:24:41.210 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-05-02 04:24:41.216 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
